student_id,faculty_id,rating
1,40,4
1,36,1
1,94,3
1,53,4
1,60,4
1,23,5
1,54,3
1,97,2
1,29,3
1,8,3
1,26,5
2,96,3
2,10,4
2,65,1
2,2,3
2,22,4
2,99,4
2,16,5
2,59,3
2,11,4
2,100,3
2,52,4
2,48,4
2,61,2
2,53,4
2,63,4
2,58,2
2,26,5
2,84,5
2,24,1
2,90,4
3,21,3
3,50,4
3,90,3
3,34,4
3,94,3
4,89,3
4,39,4
4,21,3
4,45,5
4,23,4
5,14,3
5,83,3
5,85,4
5,51,5
5,43,3
5,71,3
5,48,5
5,15,4
5,91,5
5,69,3
5,7,5
6,23,2
6,50,3
6,3,5
6,61,4
6,51,4
6,5,4
6,69,2
6,92,3
6,74,1
7,20,3
7,92,1
7,43,5
7,9,3
7,96,3
7,98,2
7,44,2
7,75,3
7,16,4
7,73,5
7,97,4
7,100,3
8,100,4
8,60,1
8,12,5
8,50,3
8,58,3
8,45,3
8,29,3
8,83,4
8,17,2
9,5,3
9,26,4
9,1,3
9,95,2
9,48,5
9,43,4
9,35,4
10,18,4
10,3,5
10,30,3
10,59,3
10,2,1
10,100,4
10,64,5
10,73,4
10,96,3
10,71,3
10,27,3
10,85,5
10,76,4
10,36,2
10,10,5
11,21,4
11,95,4
11,59,3
11,14,5
11,84,3
11,9,3
11,83,4
11,76,2
11,18,4
11,72,3
11,35,4
11,45,5
11,74,3
11,36,3
11,77,3
11,75,4
11,70,1
11,16,3
12,10,5
12,38,5
12,46,4
12,53,4
12,8,4
12,16,4
12,71,3
12,23,2
12,5,4
12,45,3
12,65,4
12,25,3
12,2,3
12,94,3
12,7,4
13,13,3
13,24,4
13,66,3
13,7,4
13,2,4
14,86,5
14,85,5
14,66,4
14,16,4
14,81,2
14,17,5
14,30,3
14,50,5
15,50,3
15,37,5
15,95,4
15,46,5
15,30,3
16,43,2
16,21,3
16,85,4
16,53,2
16,78,3
16,55,1
16,4,3
17,70,4
17,31,4
17,61,5
17,27,2
17,52,1
17,41,3
18,27,4
18,74,4
18,37,5
18,75,4
18,12,3
18,90,4
18,17,1
18,85,3
18,4,4
18,71,3
18,77,5
18,28,4
19,49,2
19,97,4
19,30,5
19,50,3
19,32,4
19,27,5
19,100,4
19,96,3
19,13,4
19,85,4
19,41,4
19,38,1
20,31,3
20,68,5
20,78,4
20,74,2
20,54,5
